Baccalaureate Institution,Current Institution,Field of Study,Year,Status
Harvard University,The Scripps Research Institute,Chemistry - Organic,2011,award
University of Notre Dame,Northwestern University,Engineering - Chemical Engineering,2011,award
"HARVARD COLLEGE, PRESIDENT & FELLOWS OF","University of California, San Digo",Psychology - Experimental or Comparative,2011,award
Georgia Institute of Technology,UNIVERSITY OF CALIFORNIA BERKELEY,Social Sciences - Economics (except Business Administration),2011,award
Iowa State University,Iowa State University,Engineering - Electrical and Electronic,2011,award
JOHNS HOPKINS UNIVERSITY,University of Minnesota-Twin Cities,Engineering - Biomedical,2011,award
Wesleyan University,Undecided,Life Sciences - Evolutionary Biology,2011,award
OHIO STATE UNIVERSITY,OHIO STATE UNIVERSITY,Physics and Astronomy - Particle Physics,2011,award
Bucknell University,University of Chicago,Chemistry - Inorganic,2011,award
Barnard College,STATE UNIV OF NY AT STONY BROOK,"Social Sciences - other (specify) - Technology, Policy, and Innovation",2011,award
University of Michigan Ann Arbor,Undecided,Life Sciences - Microbiology,2011,award
University of Virginia Main Campus,University of Virginia Main Campus,Life Sciences - Population and Community Ecology,2011,award
University of New Mexico,University of New Mexico,Engineering - Chemical Engineering,2011,award
University of Richmond,Undecided,Comp/IS/Eng - Scientific Computing and Informatics,2011,award
University of Alabama Tuscaloosa,University of Alabama Tuscaloosa,Engineering - Mechanical,2011,award
University of Chicago,University of Wisconsin-Madison,Chemistry - Inorganic,2011,award
Ithaca College,UNIVERSITY OF CALIFORNIA BERKELEY,Psychology - Social,2011,award
University of Colorado at Boulder,UNIVERSITY OF CALIFORNIA BERKELEY,Life Sciences - Plant Pathology,2011,award
University of California-Santa Cruz,University of California-Santa Cruz,Physics and Astronomy - Astrophysics,2011,award
New School University,University of California-Santa Barbara,Psychology - Developmental,2011,award
Pennsylvania State Univ University Park,University of Texas at Austin,Chemistry - Analytical,2011,award
University of Arkansas,University of Arkansas,Chemistry - Biophysical,2011,award
University of Minnesota-Twin Cities,CORNELL UNIVERSITY,Chemistry - Polymer,2011,award
University of New Hampshire,UNIVERSITY OF MASSACHUSETTS AMHERST,Engineering - Mechanical,2011,award
Colorado College,University of North Carolina at Chapel Hill,Life Sciences - Ecology,2011,award
Washington and Lee University,Pennsylvania State Univ University Park,Psychology - Developmental,2011,award
Colby College,Columbia University Lamont Doherty Earth Observatory,Geosciences - Geochemistry,2011,award
Cornell University,Undecided,Life Sciences - Ecology,2011,award
Franklin W. Olin College of Engineering,Carnegie-Mellon University,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,award
West Virginia University,Cornell University,Life Sciences - Botany (including Plant Physiology),2011,award
University of Nevada Reno,University of Pennsylvania,Engineering - Mechanical,2011,award
Harvey Mudd College,Harvey Mudd College,Life Sciences - Biochemistry,2011,award
University of California-Santa Cruz,Harvard University,Social Sciences - Physical Anthropology,2011,award
Pennsylvania State Univ University Park,Pennsylvania State Univ University Park,Life Sciences - Microbiology,2011,award
UNIVERSITY OF CALIFORNIA BERKELEY,Pennsylvania State Univ University Park,Physics and Astronomy - Astrophysics,2011,award
University of California-Los Angeles,University of Washington,Mathematical Sciences - Applications of Mathematics (including Biometrics and Bi,2011,award
West Virginia University,West Virginia University,Physics and Astronomy - Condensed Matter Physics,2011,award
UNIVERSITY OF CALIFORNIA BERKELEY,UNIVERSITY OF CALIFORNIA BERKELEY,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,award
University of Maryland Baltimore County,Northwestern University,Chemistry - Inorganic,2011,award
University of Connecticut,University of Connecticut,Engineering - Electrical and Electronic,2011,award
University of Virginia Main Campus,Harvard University,Physics and Astronomy - Astrophysics,2011,award
Middlebury College,Boston University,Life Sciences - Marine Biology,2011,award
Clemson University,Undecided,Engineering - Energy,2011,award
Juniata College,Columbia University,Physics and Astronomy - Astrophysics,2011,award
Columbia University,University of California-Irvine,Social Sciences - Cultural Anthropology,2011,award
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",Massachusetts Institute of Technology,Life Sciences - Genetics,2011,award
UNIVERSITY OF ILLINOIS,University of Wisconsin-Madison,Life Sciences - Plant Pathology,2011,award
California State University-San Bernardino,MIAMI UNIVERSITY,Geosciences - Geology,2011,award
University of Colorado at Boulder,University of Colorado at Boulder,Mathematical Sciences - Applications of Mathematics (including Biometrics and Bi,2011,award
Southern Wesleyan University,Washington University,Life Sciences - Neurosciences,2011,award
UNIVERSITY OF MARYLAND,Duke University,Life Sciences - Biophysics,2011,award
University of California-Berkeley,University of California-Berkeley,Life Sciences - Cell Biology,2011,award
Harvard University,Stanford University,Social Sciences - Political Science,2011,award
UNIVERSITY OF ILLINOIS,San Francisco State University,STEM Education and Learning Research - other (specify) - Biology Education,2011,award
University of Chicago,UNIVERSITY OF ILLINOIS,Comp/IS/Eng - Databases Information Retrieval and Web Search,2011,award
University of Richmond,Washington University School of Medicine,Life Sciences - Microbiology,2011,award
Gonzaga University,Gonzaga University,Life Sciences - Entomology,2011,award
SUNY at Buffalo,SUNY at Buffalo,Engineering - Mechanical,2011,award
Michigan State University,Michigan State University,Engineering - Electrical and Electronic,2011,award
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,Undecided,Life Sciences - Ecology,2011,award
Whitman College,Undecided,Life Sciences - Ecology,2011,award
New York University,Columbia University,Psychology - Cognitive Neuroscience,2011,award
Providence College,Massachusetts Institute of Technology,Life Sciences - Genetics,2011,award
University of California-Los Angeles,University of California-Los Angeles,Engineering - Mechanical,2011,award
University of California-Los Angeles,University of California-Los Angeles,Life Sciences - Immunology,2011,award
University of North Carolina at Charlotte,University of North Carolina at Charlotte,Engineering - Mechanical,2011,award
Stanford University,Massachusetts Institute of Technology,Comp/IS/Eng - Graphics and Visualization,2011,award
Hope College,University of Washington,Life Sciences - Cell Biology,2011,award
UNIVERSITY OF CALIFORNIA BERKELEY,UNIVERSITY OF CALIFORNIA BERKELEY,Psychology - Cognitive Neuroscience,2011,award
UNIVERSITY OF LOUISVILLE,Purdue University,Physics and Astronomy - other (specify) - Biological Physics,2011,award
Rutgers University Camden,Cornell University,Mathematical Sciences - Operations Research,2011,award
Princeton University,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",Life Sciences - Computational Biology,2011,award
Wesleyan University,UCLA-HIGHER EDUCATION RESEARCH INSTITUTE,Social Sciences - Cultural Anthropology,2011,award
New College of Florida,Massachusetts Institute of Technology,Life Sciences - Molecular Biology,2011,award
Hope College,Mayo Clinic Rochester,Life Sciences - Biochemistry,2011,award
United States Military Academy,United States Military Academy,Engineering - other (specify) - Information Warfare System Engineering,2011,award
Columbia University,Princeton University,Psychology - Cognitive Neuroscience,2011,award
Marist College,Marist College,Chemistry - Organic,2011,award
Harvard University,Massachusetts Institute of Technology,Psychology - Computational Psychology,2011,award
UNIVERSITY OF CALIFORNIA BERKELEY,Massachusetts Institute of Technology,Physics and Astronomy - Astrophysics,2011,award
Michigan Technological University,Michigan Technological University,Engineering - Civil Engineering,2011,award
STATE UNIV OF NY AT STONY BROOK,STATE UNIV OF NY AT STONY BROOK,Engineering - Biomedical,2011,award
Brown University,University of California-Santa Barbara,Life Sciences - other (specify) - Applied Marine Ecology and Economics,2011,award
University of Pennsylvania,University of California-Berkeley,Chemistry - Organic,2011,award
University of Washington,University of Washington,Geosciences - Geophysics,2011,award
Georgia Institute of Technology,Georgia Institute of Technology,Mathematical Sciences - other (specify) - Combinatorics and Graph Theory,2011,award
UCLA-HIGHER EDUCATION RESEARCH INSTITUTE,UCLA-HIGHER EDUCATION RESEARCH INSTITUTE,STEM Education and Learning Research - Science Education,2011,award
UNIVERSITY OF CALIFORNIA BERKELEY,CORNELL UNIVERSITY,Engineering - Environmental,2011,award
University of Wyoming,University of Washington,Life Sciences - other (specify) - Paleobiology,2011,award
Hamilton College,Harvard School of Public Health,Life Sciences - Molecular Biology,2011,award
Cornell University,Cornell University,Engineering - Nuclear,2011,award
CORNELL UNIVERSITY,SUNY at Stony Brook,Life Sciences - Ecology,2011,award
Stanford University,Stanford University,Life Sciences - Marine Biology,2011,award
University of Wisconsin-Madison,Duke University,Psychology - Developmental,2011,award
Elizabethtown College,University of Michigan,Chemistry - Bio-inorganic,2011,award
Tufts University,Colorado State University,Life Sciences - Ecology,2011,award
Georgia Institute of Technology,Georgia Institute of Technology,Engineering - Chemical Engineering,2011,award
Swarthmore College,University of California-San Diego Scripps Inst of Oceanography,Life Sciences - Biological Oceanography,2011,award
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Physics and Astronomy - Theoretical Physics,2011,award
Yale University,Yale University,Social Sciences - Economics (except Business Administration),2011,award
California State University-Northridge,University of California-Riverside,Life Sciences - Botany (including Plant Physiology),2011,award
University of Central Florida,University of Central Florida,Engineering - Materials,2011,award
